Name,Club,Nation,League,Rating,Main_Position,Alternate_Positions,Card_Version,Run_Style,Price,Price_Variation,Skills_Star,Weak_Foot_Star,Attack_Workrate,Defense_Workrate,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defense / Speed,Physical / Positioning,Height,BodyType,Popularity,Base_Stats,Ingame_Stats,Gender
Killian Phillips,Aberdeen,Republic of Ireland,cinch Prem,66,CM,CAM,normal,Mostly Lengthy,0.0,200,2,3,H,H,56.0,58,63,63,62,77,"190cm | 6'3""",Tall & Lean  (85kg),0,379,1803,Male
Martin Ellingsen,AIK,Norway,Allsvenskan,66,CDM,CB,normal,Controlled,0.0,200,3,3,M,M,57.0,59,64,65,63,67,"180cm | 5'11""",Avg & Normal  (75kg),0,375,1821,Male
Cemali Sertel,Hatayspor,Turkey,Trendyol Süper Lig,66,LB,"CB,LWB",normal,Controlled Lengthy,0.0,200,2,2,M,M,70.0,38,59,63,63,68,"186cm | 6'1""",Tall & Normal  (80kg),0,361,1682,Male
Nathanael Ogbeta,Bolton,England,EFL League One,66,LWB,LB,normal,Controlled,0.0,300,3,3,H,M,80.0,45,53,66,60,71,"188cm | 6'2""",Tall & Lean  (81kg),0,375,1710,Male
Oscar Johansson,Hammarby IF,Sweden,Allsvenskan,66,RM,"CM,RW",normal,Controlled Explosive,0.0,200,3,3,H,H,74.0,58,62,65,46,68,"178cm | 5'10""",Avg & Normal  (73kg),0,373,1743,Male
Miro Tenho,Djurgårdens IF,Finland,Allsvenskan,66,CB,0,normal,Controlled Lengthy,200.0,0,2,3,M,H,58.0,23,49,50,66,69,"190cm | 6'3""",Tall & Normal  (82kg),0,315,1442,Male
Ante Roguljic,FC Univ. Cluj,Croatia,SUPERLIGA,66,CAM,"RM,CM",normal,Controlled,0.0,200,3,4,M,M,72.0,62,66,68,34,51,"180cm | 5'11""",Avg & Lean  (70kg),0,353,1672,Male
James Jeggo,Melbourne City,Australia,A-League,66,CDM,CM,normal,Controlled,0.0,200,2,2,M,H,67.0,58,60,64,62,69,"178cm | 5'10""",Avg & Lean  (71kg),0,380,1784,Male
Nigel Lonwijk,Wycombe,Holland,EFL League One,66,CB,0,normal,Controlled Lengthy,200.0,0,2,3,M,M,61.0,35,44,49,65,72,"195cm | 6'5""",Tall & Normal  (74kg),0,326,1506,Male
Daniel Luna,CD Mirandés,Colombia,LALIGA HYPERMOTION,66,CAM,0,normal,Controlled,200.0,0,3,3,M,M,68.0,57,58,65,33,44,"179cm | 5'10""",Avg & Lean  (66kg),0,325,1534,Male
Lautaro de León Billar,CD Mirandés,Uruguay,LALIGA HYPERMOTION,66,ST,CF,normal,Mostly Lengthy,0.0,200,3,4,M,M,61.0,67,46,65,20,57,"185cm | 6'1""",Tall & Lean  (77kg),0,316,1459,Male
Salim Khelifi,Melb. Victory,Tunisia,A-League,66,RWB,"RB,RM,LM",normal,Controlled Explosive,0.0,200,3,3,H,M,77.0,57,61,69,60,46,"173cm | 5'8""",Avg & Lean  (65kg),0,370,1765,Male
Vitalie Damascan,Stade-Lausanne,Moldova,CSSL,66,ST,"LM,CF",normal,Controlled Explosive,0.0,200,2,3,H,M,78.0,65,55,66,22,68,"180cm | 5'11""",Avg & Lean  (74kg),0,354,1661,Male
Alex Mighten,Port Vale,England,EFL League One,66,LW,LM,normal,Explosive,0.0,200,4,3,H,M,79.0,54,56,73,27,48,"172cm | 5'8""",Avg & Normal  (70kg),0,337,1527,Male
Jack Marriott,Wrexham AFC,England,EFL League Two,66,ST,CF,normal,Mostly Explosive,0.0,200,2,4,H,M,80.0,65,51,67,26,64,"173cm | 5'8""",Avg & Normal  (71kg),1,353,1667,Male
Mathias Olesen,Yverdon Sport FC,Luxembourg,CSSL,66,CM,CAM,normal,Controlled Lengthy,0.0,200,2,3,M,M,70.0,46,62,66,59,68,"188cm | 6'2""",Tall & Normal  (78kg),0,371,1686,Male
Adrian Fein,SC Verl,Germany,3. Liga,66,CDM,0,normal,Controlled Lengthy,200.0,0,3,4,M,M,48.0,57,64,66,62,71,"187cm | 6'2""",Tall & Lean  (81kg),0,368,1777,Male
Ioan Filip,FC Botoșani,Romania,SUPERLIGA,66,CDM,"CB,CM",normal,Controlled,0.0,200,2,2,L,H,42.0,41,58,58,63,73,"187cm | 6'2""",Tall & Lean  (80kg),0,335,1580,Male
Andy Halliday,Motherwell,Scotland,cinch Prem,66,LB,"LWB,CM",normal,Controlled,0.0,200,2,3,M,M,61.0,61,64,65,64,71,"173cm | 5'8""",Avg & Lean  (67kg),1,386,1830,Male
Josh Vela,Carlisle United,England,EFL League One,66,CM,CDM,normal,Controlled Lengthy,0.0,300,3,3,H,H,62.0,60,64,65,62,81,"181cm | 5'11""",Avg & Normal  (70kg),0,394,1860,Male
Patryk Stepinski,Ruch Chorzów,Poland,PKO BP Ekstraklasa,66,RB,"RWB,CB",normal,Controlled,0.0,200,2,3,M,M,70.0,33,54,60,65,70,"178cm | 5'10""",Avg & Lean  (62kg),0,352,1614,Male
Eugenio Lamanna,Borgocalcio,Italy,Serie BKT,66,GK,0,normal,Controlled,200.0,0,1,2,M,M,64.0,64,60,68,31,65,"187cm | 6'2""",Tall & Normal  (80kg),0,352,817,Male
Yohan Demoncy,AC Beauruelle,France,Ligue 2 BKT,66,CM,CDM,normal,Controlled,0.0,200,3,2,L,M,63.0,48,62,66,60,74,"181cm | 5'11""",Avg & Lean  (75kg),0,373,1767,Male
Nesta Guinness-Walker,Stevenage,England,EFL League One,66,LB,LWB,normal,Controlled,0.0,300,3,2,H,M,83.0,36,61,65,59,65,"183cm | 6'0""",Avg & Normal  (70kg),0,369,1657,Male
Ernest Muçi,Beşiktaş,Albania,Trendyol Süper Lig,66,ST,"CAM,CF",normal,Mostly Explosive,0.0,300,3,3,M,M,79.0,67,59,69,20,57,"180cm | 5'11""",Avg & Lean  (75kg),7,351,1643,Male
Romário Baldé,Wuhan 3 Towns,Guinea-Bissau,CSL,66,LM,"ST,LW",normal,Controlled Explosive,0.0,200,3,3,M,L,78.0,64,55,71,31,69,"177cm | 5'10""",Avg & Stocky  (75kg),2,368,1726,Male
Edison Vega,Aucas,Ecuador,Libertadores,66,CDM,CM,Libertadores,Controlled,0.0,0,3,3,M,M,65.0,51,65,63,64,68,"168cm | 5'6""",Short & Normal  (69kg),2,376,1801,Male
Juan Manuel Izquierdo,Nacional,Uruguay,Libertadores,66,CB,0,Libertadores,Controlled Lengthy,0.0,0,2,3,L,L,67.0,28,47,47,67,70,"187cm | 6'2""",Tall & Lean  (80kg),2,326,1506,Male
Carlos Cermeño,Puerto Cabello,Venezuela,Sudamericana,66,CDM,"CM,CAM",Sudamericana,Controlled,0.0,0,2,3,M,M,72.0,49,66,66,63,68,"176cm | 5'9""",Avg & Normal  (72kg),2,384,1807,Male
Giancarlo Schiavone,Puerto Cabello,Venezuela,Sudamericana,66,GK,0,Sudamericana,Controlled Lengthy,0.0,0,1,2,M,M,65.0,64,64,70,44,61,"188cm | 6'2""",Tall & Normal  (86kg),2,368,816,Male
Brian Mansilla,Defensor,Uruguay,Sudamericana,66,LM,LW,Sudamericana,Controlled Explosive,0.0,0,3,3,M,M,73.0,61,60,68,47,59,"176cm | 5'9""",Avg & Normal  (75kg),1,368,1725,Male
Adi Nalic,Almere City FC,Bosnia and Herzegovina,Eredivisie,66,CAM,"RW,ST",normal,Controlled,0.0,300,3,3,H,M,79.0,65,58,69,43,70,"190cm | 6'3""",Tall & Lean  (83kg),1,384,1756,Male
Abdussalam Magashy,Kalmar FF,Nigeria,Allsvenskan,66,CAM,CM,normal,Controlled Explosive,0.0,300,3,3,H,M,79.0,60,61,68,60,77,"171cm | 5'7""",Avg & Normal  (74kg),0,405,1880,Male
Aristote Nsiala,Burton Albion,Congo DR,EFL League One,66,CB,0,normal,Lengthy,300.0,0,2,3,M,H,64.0,38,49,48,64,82,"193cm | 6'4""",Tall & Normal  (83kg),0,345,1556,Male
Víctor Vázquez Solsona,East Bengal,Spain,Hero ISL,66,CAM,CM,normal,Controlled,0.0,600,3,2,L,L,30.0,64,74,66,44,50,"175cm | 5'9""",Avg & Normal  (75kg),0,328,1682,Male
Caddy,AC Beauruelle,Madagascar,Ligue 2 BKT,66,ST,CF,normal,Controlled,0.0,200,3,2,H,L,81.0,64,49,66,28,67,"183cm | 6'0""",Avg & Normal  (83kg),1,355,1667,Male
Agustín Toledo,Huracán,Argentina,LPF,66,CDM,CM,normal,Controlled,0.0,200,2,3,M,M,59.0,40,58,60,65,60,"178cm | 5'10""",Avg & Normal  (71kg),0,342,1617,Male
Aly Abeid,CFR 1907 Cluj,Mauritania,SUPERLIGA,66,LB,LWB,normal,Controlled Explosive,0.0,400,2,3,H,M,75.0,42,53,61,61,75,"174cm | 5'9""",Avg & Normal  (70kg),0,367,1684,Male
Kitolano,Lillestrøm SK,Norway,Eliteserien,66,CAM,"CM,CF",normal,Explosive,0.0,300,3,4,H,M,83.0,63,60,68,50,63,"175cm | 5'9""",Avg & Lean  (70kg),0,387,1804,Male
Wilson Ibarrola,Guaraní,Paraguay,Sudamericana,66,LB,LWB,Sudamericana,Controlled Explosive,0.0,0,2,3,M,M,81.0,29,52,57,60,59,"172cm | 5'8""",Avg & Normal  (74kg),1,338,1560,Male
Maudo Lamine Jarjué,Sandefjord,Gambia,Eliteserien,66,CB,0,normal,Lengthy,200.0,0,2,3,M,M,68.0,35,47,55,64,79,"189cm | 6'2""",Tall & Normal  (90kg),0,348,1521,Male
Luke Bolton,Salford City,England,EFL League Two,65,RM,"RB,RW",normal,Explosive,0.0,600,3,3,M,M,83.0,55,59,66,54,68,"174cm | 5'9""",Avg & Normal  (72kg),2,385,1794,Male
Will Collar,Stockport,England,EFL League Two,65,CM,0,normal,Controlled,200.0,0,2,2,H,M,66.0,62,61,65,60,75,"181cm | 5'11""",Avg & Normal  (76kg),1,389,1824,Male
Harry Clifton,Grimsby Town,Wales,EFL League Two,65,RM,"CM,LM,RW",normal,Controlled Explosive,0.0,200,2,3,H,H,72.0,57,59,63,58,73,"180cm | 5'11""",Avg & Lean  (64kg),3,382,1779,Male
Anton Gaaei,Ajax,Denmark,Eredivisie,65,RB,"RWB,RW",normal,Controlled,0.0,300,2,3,H,M,75.0,48,62,66,59,61,"183cm | 6'0""",Avg & Lean  (75kg),7,371,1703,Male
Matías Abaldo,Gimnasia,Uruguay,Sudamericana,65,RW,"RM,CAM,LW",normal,Controlled Explosive,0.0,200,3,3,M,M,70.0,61,63,66,25,49,"172cm | 5'8""",Avg & Lean  (68kg),2,334,1558,Male
Hakim Abdallah,FC Dinamo 1948,Madagascar,SUPERLIGA,65,ST,CF,normal,Controlled Lengthy,0.0,200,2,2,M,M,76.0,63,56,65,29,71,"187cm | 6'2""",Tall & Normal  (81kg),6,360,1685,Male
Fabio Abiuso,Modena,Italy,Serie BKT,65,ST,CF,normal,Controlled Lengthy,0.0,200,3,2,M,H,62.0,64,51,61,30,61,"185cm | 6'1""",Tall & Lean  (78kg),0,329,1574,Male
Mo Adams,Al Shabab,England,ROSHN Saudi League,65,CDM,CM,normal,Controlled,0.0,1.2K,2,2,M,H,63.0,48,52,62,65,69,"168cm | 5'6""",Short & Normal  (70kg),1,359,1663,Male
Jacob Adebanjo,Puerto Cabello,Nigeria,Sudamericana,65,CB,0,normal,Controlled Lengthy,1200.0,0,2,2,H,H,64.0,52,57,59,62,75,"185cm | 6'1""",Tall & Normal  (87kg),1,369,1705,Male
Harrison Afful,Charlotte FC,Ghana,MLS,65,RB,"RWB,LB",normal,Controlled,0.0,0,3,3,H,M,68.0,57,65,69,61,66,"170cm | 5'7""",Short & Lean  (67kg),1,386,1856,Male
Daniel Afriyie,FC Zürich,Ghana,CSSL,65,LM,"CF,LW",normal,Explosive,0.0,200,3,2,H,M,84.0,56,55,70,36,46,"165cm | 5'5""",Short & Normal  (69kg),0,347,1574,Male
Adnan Aganović,Sepsi OSK,Croatia,SUPERLIGA,65,CM,RM,normal,Controlled,0.0,200,3,3,M,H,58.0,60,69,66,47,65,"180cm | 5'11""",Avg & Stocky  (76kg),1,365,1778,Male
David Ajiboye,Peterborough,England,EFL League One,65,RM,RW,normal,Mostly Explosive,0.0,300,3,3,H,M,91.0,56,55,67,38,68,"170cm | 5'7""",Short & Stocky  (70kg),0,375,1713,Male
Nasser Al Dawsari,Al Hilal,Saudi Arabia,ROSHN Saudi League,65,LB,"LWB,CDM,CM",normal,Controlled,0.0,200,3,3,M,L,68.0,59,68,67,58,59,"178cm | 5'10""",Avg & Lean  (68kg),5,379,1783,Male
Mohammed Al Fatil,Al Nassr,Saudi Arabia,ROSHN Saudi League,65,CB,0,normal,Controlled,200.0,0,2,3,M,M,58.0,30,49,49,65,67,"179cm | 5'10""",Avg & Lean  (72kg),2,318,1467,Male
Hamadi Al Ghaddioui,SC Freiburg II,Germany,3. Liga,65,ST,CF,normal,Controlled Lengthy,0.0,200,2,3,M,M,53.0,65,53,58,29,76,"190cm | 6'3""",Tall & Stocky  (90kg),1,334,1581,Male
Khalid Al Ghannam,Al Nassr,Saudi Arabia,ROSHN Saudi League,65,LM,"RM,LW",normal,Controlled Explosive,0.0,10K,4,3,H,L,75.0,54,54,75,29,46,"173cm | 5'8""",Avg & Lean  (64kg),2,333,1559,Male
Rami Hajal,Odense BK,Sweden,3F Superliga,65,CAM,CM,normal,Controlled Explosive,0.0,200,4,2,M,L,70.0,59,63,67,50,64,"180cm | 5'11""",Avg & Lean  (74kg),3,373,1747,Male
Fawaz Al Qarni,Al Shabab,Saudi Arabia,ROSHN Saudi League,65,GK,0,normal,Controlled,200.0,0,1,3,M,M,67.0,59,60,69,44,64,"183cm | 6'0""",Avg & Normal  (90kg),0,363,835,Male
Saeed Al Rubaie,Al Okhdood,Saudi Arabia,ROSHN Saudi League,65,CB,0,normal,Controlled Lengthy,200.0,0,2,2,M,M,64.0,25,44,43,63,75,"186cm | 6'1""",Tall & Normal  (80kg),0,314,1423,Male
Ahmed Al Zain,Damac FC,Saudi Arabia,ROSHN Saudi League,65,RW,"RM,LW",normal,Controlled Explosive,0.0,200,3,4,H,M,82.0,58,59,67,41,63,"180cm | 5'11""",Avg & Lean  (70kg),1,370,1704,Male
Amir Al-Ammari,Halmstads BK,Iraq,Allsvenskan,65,CM,0,normal,Controlled Lengthy,1700.0,0,2,3,H,M,68.0,57,65,64,60,73,"184cm | 6'0""",Avg & Normal  (70kg),6,387,1829,Male
Mads Albæk,Randers FC,Denmark,3F Superliga,65,CM,CDM,normal,Controlled Lengthy,0.0,200,2,3,M,M,48.0,63,66,65,63,68,"182cm | 6'0""",Avg & Normal  (77kg),1,373,1841,Male
Raúl Albentosa,Vejle Boldklub,Spain,3F Superliga,65,CB,0,normal,Controlled,200.0,0,2,2,L,H,37.0,46,49,41,63,78,"192cm | 6'4""",Tall & Normal  (89kg),0,314,1504,Male
Christian Alemán,Aucas,Ecuador,Libertadores,65,CAM,"RM,LM",normal,Controlled,0.0,4.5K,3,3,M,M,73.0,54,62,62,34,58,"185cm | 6'1""",Tall & Normal  (72kg),1,343,1561,Male
Migouel Alfarela,SC Bastia,France,Ligue 2 BKT,65,ST,"CF,RW",normal,Controlled Explosive,0.0,200,3,3,H,M,74.0,63,61,69,25,57,"173cm | 5'8""",Avg & Lean  (67kg),0,349,1659,Male
Kerim Alıcı,Hatayspor,Turkey,Trendyol Süper Lig,65,RB,RWB,normal,Controlled,0.0,200,2,2,M,M,73.0,49,59,63,63,62,"183cm | 6'0""",Avg & Normal  (73kg),1,369,1704,Male
Isnik Alimi,Sepsi OSK,North Macedonia,SUPERLIGA,65,CM,CDM,normal,Controlled,0.0,200,2,3,H,H,64.0,51,65,64,62,65,"190cm | 6'3""",Tall & Normal  (86kg),2,371,1735,Male
Sandro Altunashvili,Wolfsberger AC,Georgia,Ö. Bundesliga,65,CM,"CDM,CAM",normal,Controlled Explosive,0.0,200,2,3,M,M,66.0,58,66,67,60,56,"169cm | 5'7""",Short & Normal  (63kg),1,373,1785,Male
Sone Aluko,Ipswich,Nigeria,EFL Championship,65,CAM,"RM,RW",normal,Controlled Explosive,0.0,200,3,2,H,M,72.0,60,62,70,40,49,"173cm | 5'8""",Avg & Normal  (62kg),2,353,1719,Male
Rodrigo Amarilla,Guaraní,Paraguay,Sudamericana,65,RM,"LM,RW",normal,Controlled Explosive,0.0,200,3,3,H,M,77.0,56,58,66,35,47,"167cm | 5'6""",Short & Normal  (63kg),0,339,1582,Male
Akinkunmi Amoo,F.C. København,Nigeria,3F Superliga,65,RW,RM,normal,Explosive,0.0,0,4,2,M,L,83.0,56,55,73,25,60,"163cm | 5'4""",Short & Stocky  (68kg),-1,352,1609,Male
Youssef Amyn,Braunschweig,Germany,Bundesliga 2,65,LW,"LM,CAM,RW",normal,Explosive,0.0,2.2K,4,3,M,M,76.0,59,57,71,40,44,"172cm | 5'8""",Avg & Lean  (68kg),8,347,1639,Male
Hugo Ancajima,Universitario,Peru,Sudamericana,65,RWB,RB,normal,Controlled,0.0,200,2,3,M,M,63.0,49,53,63,61,67,"180cm | 5'11""",Avg & Normal  (80kg),0,356,1586,Male
Nilson Angulo,RSC Anderlecht,Ecuador,1A Pro League,65,CAM,"RM,ST",normal,Controlled,0.0,300,4,3,M,M,79.0,59,59,68,34,50,"184cm | 6'0""",Avg & Lean  (65kg),0,349,1589,Male
Marco Antonio Angulo,FC Cincinnati,Ecuador,MLS,65,CDM,"CM,CF",normal,Controlled,0.0,200,3,3,H,H,62.0,51,63,67,60,63,"173cm | 5'8""",Avg & Normal  (63kg),0,366,1694,Male
Luis Annese,Metropolitanos,Venezuela,Libertadores,65,ST,"CF,RW",normal,Controlled,0.0,550,2,5,H,M,62.0,69,55,64,27,59,"175cm | 5'9""",Avg & Normal  (71kg),0,336,1616,Male
Kent-Are Antonsen,Tromsø IL,Norway,Eliteserien,65,CM,"CB,LM",normal,Controlled,0.0,300,3,3,M,M,76.0,61,62,65,63,75,"172cm | 5'8""",Avg & Normal  (70kg),2,402,1888,Male
Alexis Antunes,Servette FC,Switzerland,CSSL,65,CM,0,normal,Controlled Explosive,200.0,0,3,3,H,M,70.0,56,63,71,51,63,"181cm | 5'11""",Avg & Normal  (73kg),2,374,1737,Male
Julien Anziani,USL Dunkerque,France,Ligue 2 BKT,65,CM,CDM,normal,Controlled,0.0,200,2,3,M,M,60.0,54,67,66,59,55,"175cm | 5'9""",Avg & Normal  (77kg),0,361,1747,Male
Aias Aosman,Pendikspor,Syria,Trendyol Süper Lig,65,CF,"CM,CAM,ST",normal,Controlled Explosive,0.0,8.4K,3,3,M,L,75.0,62,63,71,33,64,"175cm | 5'9""",Avg & Normal  (75kg),4,368,1740,Male
Carlos Apna Embaló,Cittadella,Guinea-Bissau,Serie BKT,65,ST,"CAM,CF",normal,Mostly Explosive,0.0,0,3,3,H,L,85.0,62,61,71,41,62,"178cm | 5'10""",Avg & Normal  (78kg),0,382,1777,Male
Aritz Arambarri Murua,CD Leganés,Spain,LALIGA HYPERMOTION,65,CB,0,normal,Controlled Lengthy,200.0,0,2,3,M,M,48.0,29,52,43,64,71,"186cm | 6'1""",Tall & Normal  (76kg),1,307,1468,Male
Jon Aramburu,Real Sociedad,Venezuela,LALIGA EA SPORTS,65,RB,"RWB,CB",normal,Controlled Explosive,0.0,200,2,3,H,H,71.0,46,58,61,62,61,"174cm | 5'9""",Avg & Normal  (71kg),1,359,1680,Male
Juan Carlos Arana Gómez,R. Racing Club,Spain,LALIGA HYPERMOTION,65,ST,CF,normal,Controlled,0.0,200,3,3,H,L,66.0,67,54,62,33,57,"182cm | 6'0""",Avg & Normal  (71kg),2,339,1612,Male
Gabriel Aranda,Banfield,Argentina,LPF,65,CB,0,normal,Controlled Lengthy,200.0,0,2,2,L,M,54.0,30,42,50,65,72,"190cm | 6'3""",Tall & Normal  (82kg),1,313,1438,Male
Victor Emanuel Araújo Ferreira,Estrela Amadora,Portugal,Liga Portugal,65,CM,CAM,normal,Controlled,0.0,350,3,3,M,M,68.0,61,60,66,57,68,"180cm | 5'11""",Avg & Normal  (67kg),-1,380,1811,Male
Musa Araz,FC Winterthur,Switzerland,CSSL,65,CM,0,normal,Controlled Explosive,200.0,0,3,4,M,H,75.0,62,63,72,45,54,"173cm | 5'8""",Avg & Normal  (63kg),2,371,1766,Male
Teodoro Arce,Gral. Caballero,Paraguay,Sudamericana,65,RM,"RW,LW",normal,Controlled Explosive,0.0,200,3,3,H,M,72.0,64,61,66,26,53,"168cm | 5'6""",Short & Normal  (63kg),0,342,1603,Male
Juan Carlos Arce,Blooming,Bolivia,Sudamericana,65,CAM,"RM,LM",normal,Controlled,0.0,200,4,3,H,M,51.0,66,64,68,37,46,"176cm | 5'9""",Avg & Lean  (62kg),0,332,1647,Male
Theo Archibald,Leyton Orient,Scotland,EFL League One,65,RM,"LWB,RW",normal,Controlled Explosive,0.0,200,3,3,H,H,79.0,60,59,64,54,66,"180cm | 5'11""",Avg & Normal  (75kg),1,382,1778,Male
Taïryk Arconte,Rodez AF,France,Ligue 2 BKT,65,ST,"RM,CF",normal,Controlled Explosive,0.0,200,3,3,M,M,71.0,66,59,68,28,58,"181cm | 5'11""",Avg & Normal  (76kg),1,350,1642,Male
Simone Aresti,Cagliari,Italy,Serie A TIM,65,GK,0,normal,Controlled,200.0,0,1,2,M,M,63.0,63,60,63,37,69,"188cm | 6'2""",Tall & Normal  (78kg),0,355,840,Male
Daniel Arzani,Melb. Victory,Australia,A-League,65,LM,LW,normal,Explosive,0.0,200,4,3,M,M,83.0,59,58,72,34,61,"171cm | 5'7""",Avg & Normal  (73kg),3,367,1729,Male
Jasin Assehnoun,Vejle Boldklub,Finland,3F Superliga,65,LM,"RM,LW",normal,Controlled,0.0,400,4,4,H,M,71.0,60,60,70,35,67,"175cm | 5'9""",Avg & Stocky  (73kg),1,363,1698,Male
Isaac Atanga,Aalesunds FK,Ghana,Eliteserien,65,LM,"RM,ST,LW",normal,Explosive,0.0,300,3,3,M,M,90.0,60,54,67,28,57,"173cm | 5'8""",Avg & Normal  (65kg),2,356,1634,Male
Javier Avilés Cortés,CD Leganés,Spain,LALIGA HYPERMOTION,65,RM,"CM,RW,ST",normal,Controlled Explosive,0.0,0,3,4,H,L,70.0,60,61,66,23,51,"181cm | 5'11""",Avg & Normal  (71kg),0,331,1494,Male
Oğuz Aydın,Alanyaspor,Turkey,Trendyol Süper Lig,65,LM,LW,normal,Controlled,0.0,200,3,3,M,L,73.0,64,57,67,31,55,"183cm | 6'0""",Avg & Normal  (76kg),1,347,1607,Male
Jonah Ayunga,St. Mirren,Kenya,cinch Prem,65,ST,CF,normal,Mostly Lengthy,0.0,200,2,3,H,M,77.0,63,55,62,37,74,"185cm | 6'1""",Tall & Normal  (78kg),2,368,1702,Male
Femi Azeez,Reading,England,EFL League One,65,RM,"RW,ST",normal,Controlled,0.0,250,3,2,H,M,81.0,64,61,65,33,64,"181cm | 5'11""",Avg & Normal  (69kg),4,368,1715,Male
Pedro Henrique Azevedo Pereira,Shakhtar Donetsk,Brazil,Ukrayina Liha,65,LB,LWB,normal,Controlled Explosive,0.0,200,2,3,M,M,74.0,26,50,52,61,52,"177cm | 5'10""",Avg & Lean  (67kg),3,315,1452,Male
Adriel D'Avila Ba Loua,Lech Poznań,Côte d'Ivoire,PKO BP Ekstraklasa,65,RM,RW,normal,Explosive,0.0,300,3,2,H,L,88.0,58,61,67,27,49,"170cm | 5'7""",Short & Normal  (75kg),7,350,1684,Male
Youri Baas,N.E.C. Nijmegen,Holland,Eredivisie,65,LB,"RB,LWB",normal,Controlled,0.0,200,2,2,H,M,68.0,34,56,63,61,61,"182cm | 6'0""",Avg & Lean  (71kg),3,343,1578,Male
Khouma Babacar,F.C. København,Senegal,3F Superliga,65,ST,CF,normal,Mostly Lengthy,0.0,200,2,3,L,L,57.0,66,52,63,27,72,"185cm | 6'1""",Tall & Normal  (85kg),-2,337,1627,Male
Kearyn Baccus,Macarthur FC,Australia,A-League,65,CDM,CM,normal,Controlled,0.0,200,3,4,M,M,67.0,53,58,63,62,68,"180cm | 5'11""",Avg & Lean  (75kg),-1,371,1761,Male
Loïc Badiashile,Burgos CF,France,LALIGA HYPERMOTION,65,GK,0,normal,Controlled,200.0,0,1,3,M,M,66.0,63,64,69,36,62,"186cm | 6'1""",Tall & Normal  (80kg),2,360,841,Male
Thibo Baeten,Go Ahead Eagles,Belgium,Eredivisie,65,ST,CF,normal,Controlled,0.0,200,3,3,M,M,72.0,65,42,61,21,61,"182cm | 6'0""",Avg & Normal  (79kg),-1,322,1520,Male
William Baeten,FCU 1948,Belgium,SUPERLIGA,65,RM,"CAM,RW",normal,Controlled Explosive,0.0,200,3,3,M,H,73.0,63,62,64,52,68,"181cm | 5'11""",Avg & Normal  (77kg),0,382,1778,Male
Jean-Mattéo Bahoya,Angers SCO,France,Ligue 2 BKT,65,CAM,CF,normal,Controlled,0.0,400,3,3,M,M,64.0,62,58,71,38,49,"180cm | 5'11""",Avg & Normal  (76kg),5,342,1621,Male
Stefan Bajic,Bristol City,France,EFL Championship,65,GK,0,normal,Controlled,200.0,0,1,3,M,M,66.0,65,65,65,25,64,"191cm | 6'3""",Tall & Normal  (84kg),2,350,625,Male
Jae Yong Bak,Jeonbuk Hyundai,Korea Republic,K League 1,65,ST,CF,normal,Lengthy,0.0,200,2,3,H,M,66.0,65,40,59,25,75,"193cm | 6'4""",Tall & Normal  (88kg),0,330,1521,Male
Marvin Bakalorz,MSV Duisburg,Germany,3. Liga,65,CDM,0,normal,Controlled,200.0,0,2,4,M,M,56.0,61,57,59,63,75,"180cm | 5'11""",Avg & Stocky  (79kg),0,371,1798,Male
Zakaria Bakkali,RKC Waalwijk,Belgium,Eredivisie,65,LM,"RM,LW",normal,Controlled Explosive,0.0,250,4,4,M,L,67.0,65,62,72,19,51,"168cm | 5'6""",Short & Stocky  (70kg),6,336,1631,Male
Enrico Baldini,Cittadella,Italy,Serie BKT,65,ST,"CAM,CF",normal,Controlled Explosive,0.0,200,3,4,M,M,74.0,66,57,70,28,55,"180cm | 5'11""",Avg & Lean  (75kg),1,350,1627,Male
Husein Balic,LASK,Austria,Ö. Bundesliga,65,ST,CF,normal,Controlled,0.0,600,3,3,M,M,89.0,62,59,67,30,58,"183cm | 6'0""",Avg & Normal  (75kg),1,365,1672,Male
Tiago Banega,Unión,Argentina,LPF,65,CM,CDM,normal,Controlled,0.0,200,3,3,M,M,69.0,60,65,69,48,61,"177cm | 5'10""",Avg & Lean  (67kg),0,372,1760,Male
Johan Bångsbo,IFK Göteborg,Sweden,Allsvenskan,65,CB,0,normal,Controlled Lengthy,350.0,0,2,3,M,M,57.0,26,47,46,66,68,"192cm | 6'4""",Tall & Normal  (85kg),2,310,1436,Male
Sacha Banse,Standard Liège,Burkina Faso,1A Pro League,65,CDM,CM,normal,Controlled Explosive,0.0,0,2,3,M,H,75.0,51,61,66,62,66,"176cm | 5'9""",Avg & Normal  (71kg),0,381,1779,Male
Bartol Barišić,Dinamo Zagreb,Croatia,Liga Hrvatska,65,ST,CF,normal,Controlled Lengthy,0.0,0,2,4,H,L,66.0,68,51,62,26,69,"187cm | 6'2""",Tall & Normal  (77kg),0,342,1651,Male
Tom Barkhuizen,Derby County,England,EFL League One,65,LM,"RM,LW",normal,Controlled Explosive,0.0,200,3,3,H,M,81.0,60,59,65,50,63,"179cm | 5'10""",Avg & Lean  (72kg),1,378,1743,Male
Orlando Barreto,Olimpia,Paraguay,Libertadores,65,CB,CDM,normal,Controlled Lengthy,0.0,300,2,2,M,H,51.0,51,55,59,64,70,"185cm | 6'1""",Tall & Normal  (81kg),0,350,1630,Male
